#{"t_start": 1726419841.7342029, "env_id": "RMSA_ENV-v0"}
r,l,t
972,1000,2.079853
990,1000,3.450501
958,1000,4.80029
986,1000,6.172889
972,1000,7.688486
982,1000,9.035588
968,1000,10.389108
978,1000,11.806009
984,1000,13.155648
992,1000,14.487251
984,1000,15.839887
970,1000,17.184412
980,1000,18.580083
976,1000,19.914374
982,1000,21.256468
990,1000,22.603238
984,1000,23.910993
982,1000,25.214199
976,1000,26.523277
986,1000,27.826568
984,1000,29.12149
996,1000,30.415474
964,1000,31.700847
980,1000,33.017568
986,1000,34.323392
988,1000,35.632132
980,1000,36.937086
978,1000,38.244325
986,1000,39.546115
984,1000,40.845507
984,1000,42.136723
994,1000,43.45167
978,1000,44.756126
976,1000,46.07916
980,1000,47.390413
990,1000,48.694846
970,1000,49.987411
984,1000,51.278357
978,1000,52.586351
994,1000,53.91862
988,1000,55.221898
976,1000,56.520779
988,1000,57.818481
974,1000,59.107631
986,1000,60.4271
964,1000,61.725855
976,1000,63.02628
982,1000,64.344685
976,1000,65.694225
990,1000,67.018914
982,1000,68.378642
994,1000,69.726447
962,1000,71.051634
976,1000,72.355312
986,1000,73.649306
980,1000,74.958773
978,1000,76.25488
996,1000,77.547296
980,1000,78.839671
964,1000,80.140786
986,1000,81.454358
984,1000,82.761344
988,1000,84.054189
980,1000,85.372624
974,1000,86.693516
980,1000,87.989172
984,1000,89.305106
964,1000,90.594412
984,1000,91.897452
980,1000,93.206542
980,1000,94.540876
966,1000,95.848308
990,1000,97.17608
958,1000,98.492835
980,1000,99.799667
982,1000,101.180007
982,1000,102.541913
976,1000,103.875463
978,1000,105.176838
980,1000,106.509585
968,1000,107.859849
984,1000,109.213884
978,1000,110.556168
986,1000,111.852082
980,1000,113.148192
982,1000,114.453439
988,1000,115.776621
992,1000,117.075416
980,1000,118.389149
972,1000,119.737639
978,1000,121.083626
988,1000,122.394253
988,1000,123.721339
972,1000,125.016422
964,1000,126.348316
976,1000,127.65782
988,1000,128.967636
974,1000,130.271298
976,1000,131.578749
976,1000,132.90643
978,1000,134.241625
990,1000,135.596775
986,1000,136.92898
990,1000,138.252163
988,1000,139.563676
978,1000,140.943542
974,1000,142.264881
986,1000,143.596209
970,1000,144.911454
972,1000,146.234914
988,1000,147.540131
976,1000,148.850183
976,1000,150.147753
976,1000,151.450851
976,1000,152.784486
974,1000,154.086948
984,1000,155.401828
990,1000,156.717555
988,1000,158.011903
974,1000,159.337137
988,1000,160.668644
992,1000,162.02851
976,1000,163.351269
982,1000,164.737983
988,1000,166.082114
964,1000,167.401146
974,1000,168.729489
972,1000,170.089214
994,1000,171.466399
986,1000,172.806026
986,1000,174.126745
984,1000,175.429121
994,1000,176.740498
982,1000,178.04584
978,1000,179.375506
970,1000,180.699751
970,1000,181.986887
986,1000,183.286662
982,1000,184.575895
986,1000,185.87777
988,1000,187.183022
990,1000,188.487583
990,1000,189.931511
956,1000,191.224538
982,1000,192.527541
962,1000,193.84638
996,1000,195.16075
970,1000,196.458168
984,1000,197.753854
992,1000,199.072051
988,1000,200.385477
990,1000,201.686707
972,1000,202.981086
982,1000,204.278228
980,1000,205.579491
986,1000,206.909155
988,1000,208.310321
974,1000,209.656717
982,1000,210.98249
990,1000,212.284101
978,1000,213.580811
978,1000,214.877269
972,1000,216.165151
978,1000,217.462067
980,1000,218.761409
980,1000,220.064953
972,1000,221.366806
980,1000,222.669989
966,1000,223.975898
962,1000,225.268682
994,1000,226.569578
992,1000,227.87326
986,1000,229.190745
988,1000,230.493127
988,1000,231.78368
982,1000,233.083946
988,1000,234.384978
986,1000,235.684127
978,1000,236.987735
992,1000,238.309908
986,1000,239.689236
984,1000,240.995628
986,1000,242.330103
976,1000,243.662396
992,1000,245.037327
978,1000,246.351038
976,1000,247.662992
962,1000,249.004031
976,1000,250.326219
986,1000,251.621284
980,1000,252.964341
976,1000,254.290368
990,1000,255.60125
980,1000,256.966515
996,1000,258.322129
988,1000,259.645012
984,1000,260.96447
978,1000,262.26947
974,1000,263.584298
984,1000,264.932102
948,1000,266.237271
38,40,270.262893
988,1000,271.64253
986,1000,272.985016
978,1000,274.296491
992,1000,275.603934
976,1000,276.904645
992,1000,278.21766
976,1000,279.530625
978,1000,280.858735
968,1000,282.186848
984,1000,283.496735
960,1000,284.798139
984,1000,286.110414
986,1000,287.468675
948,1000,288.782611
978,1000,290.118246
980,1000,291.459244
990,1000,292.755572
966,1000,294.063365
986,1000,295.417594
980,1000,296.73406
982,1000,298.069581
976,1000,299.406379
986,1000,300.712819
980,1000,302.014383
982,1000,303.315287
982,1000,304.616582
988,1000,305.935103
984,1000,307.231014
982,1000,308.53216
974,1000,309.82758
996,1000,311.154878
972,1000,312.459844
974,1000,313.764819
990,1000,315.064486
974,1000,316.373357
986,1000,317.708431
990,1000,319.016956
984,1000,320.330387
986,1000,321.614283
976,1000,322.907784
964,1000,324.193623
984,1000,325.505735
990,1000,326.821777
974,1000,328.147809
984,1000,329.44529
972,1000,330.741173
972,1000,332.035427
990,1000,333.342075
974,1000,334.6394
974,1000,335.931049
970,1000,337.224042
990,1000,338.544698
988,1000,339.866415
974,1000,341.196321
976,1000,342.541841
976,1000,343.860153
986,1000,345.188275
976,1000,346.52714
994,1000,347.859468
980,1000,349.166723
992,1000,350.468163
982,1000,351.748512
986,1000,353.056377
976,1000,354.359424
972,1000,355.663781
970,1000,356.952827
984,1000,358.255867
982,1000,359.551146
976,1000,360.87102
992,1000,362.198849
986,1000,363.504226
992,1000,364.815814
982,1000,366.145787
974,1000,367.481918
982,1000,368.805219
978,1000,370.188566
978,1000,371.503404
978,1000,372.827029
984,1000,374.146722
986,1000,375.485798
984,1000,376.796128
984,1000,378.13128
990,1000,379.48826
988,1000,380.808239
986,1000,382.148051
978,1000,383.497749
990,1000,384.795088
990,1000,386.106417
962,1000,387.45791
974,1000,388.787211
980,1000,390.161045
990,1000,391.489974
980,1000,392.808148
966,1000,394.105549
966,1000,395.42976
978,1000,396.728078
982,1000,398.044661
960,1000,399.333935
976,1000,400.635629
974,1000,401.936958
37,39,403.672908
976,1000,404.987138
980,1000,406.304475
972,1000,407.607991
968,1000,408.892606
974,1000,410.202887
990,1000,411.507185
980,1000,412.88155
988,1000,414.189629
962,1000,415.481508
962,1000,416.77877
982,1000,418.123166
974,1000,419.441696
972,1000,420.739462
984,1000,422.060585
994,1000,423.374439
992,1000,424.689458
980,1000,426.002535
988,1000,427.43436
986,1000,428.738405
968,1000,430.056178
964,1000,431.397054
984,1000,432.757888
972,1000,434.082313
980,1000,435.426194
980,1000,436.748791
966,1000,438.046177
988,1000,439.3625
950,1000,440.651718
986,1000,441.963928
986,1000,443.265589
984,1000,444.563623
978,1000,445.893455
988,1000,447.188414
994,1000,448.543017
972,1000,449.86573
984,1000,451.194787
986,1000,452.528891
978,1000,453.881184
990,1000,455.220071
976,1000,456.547723
984,1000,457.906723
978,1000,459.284937
968,1000,460.585536
976,1000,461.911141
970,1000,463.237014
964,1000,464.610413
976,1000,466.013315
988,1000,467.357342
976,1000,468.67514
970,1000,470.015679
984,1000,471.324492
968,1000,472.62261
976,1000,473.94786
994,1000,475.261285
992,1000,476.594819
980,1000,477.89993
988,1000,479.25555
978,1000,480.576387
984,1000,481.917038
978,1000,483.316185
976,1000,484.688946
986,1000,486.030297
986,1000,487.345635
976,1000,488.682095
980,1000,490.012597
986,1000,491.344908
970,1000,492.720068
990,1000,494.035015
978,1000,495.347182
970,1000,496.667503
976,1000,497.990944
996,1000,499.387171
980,1000,500.727886
992,1000,502.066119
972,1000,503.390917
978,1000,504.730093
982,1000,506.047945
986,1000,507.370552
978,1000,508.686034
984,1000,510.011156
984,1000,511.3426
988,1000,512.647054
978,1000,513.951013
972,1000,515.32782
982,1000,516.6408
982,1000,517.944557
978,1000,519.246185
976,1000,520.566206
984,1000,521.910712
958,1000,523.269862
976,1000,524.586105
992,1000,525.88602
978,1000,527.200631
982,1000,528.491859
988,1000,529.804046
984,1000,531.110442
972,1000,532.453422
964,1000,533.791772
982,1000,535.105728
988,1000,536.43448
966,1000,537.775724
984,1000,539.128707
982,1000,540.444376
992,1000,541.83504
982,1000,543.179253
968,1000,544.614393
964,1000,545.933045
982,1000,547.251966
996,1000,548.574018
990,1000,549.898062
966,1000,551.210626
990,1000,552.541526
972,1000,553.842786
996,1000,555.172539
974,1000,556.488385
970,1000,557.803068
