#{"t_start": 1734358070.976824, "env_id": "RMSA_ENV-v0"}
r,l,t
98.0,100,55.558424
100.0,100,55.595695
94.0,100,55.628912
100.0,100,55.662025
100.0,100,55.697185
96.0,96,55.787438
98.0,100,55.819542
100.0,100,55.853473
100.0,100,55.886284
100.0,100,55.920931
100.0,100,55.954307
100.0,100,55.98746
100.0,100,56.019839
100.0,100,56.053504
98.0,100,56.085368
100.0,100,56.118669
100.0,100,56.15243
100.0,100,56.18482
100.0,100,56.218942
100.0,100,56.253128
98.0,100,56.288188
100.0,100,56.32016
100.0,100,56.352832
94.0,100,56.386579
100.0,100,56.421155
100.0,100,56.455399
100.0,100,56.490992
100.0,100,56.525229
100.0,100,56.558624
100.0,100,56.591429
100.0,100,56.624456
100.0,100,56.658088
100.0,100,56.691806
100.0,100,56.724047
100.0,100,56.758243
100.0,100,56.790117
100.0,100,56.822854
100.0,100,56.893173
100.0,100,56.927718
100.0,100,56.960228
100.0,100,56.994802
98.0,100,57.028993
100.0,100,57.061485
100.0,100,57.093409
94.0,100,57.127478
100.0,100,57.161836
100.0,100,57.194996
100.0,100,57.227797
100.0,100,57.261714
100.0,100,57.295488
98.0,100,57.329025
100.0,100,57.362162
100.0,100,57.395562
100.0,100,57.428074
100.0,100,57.460785
98.0,100,57.493716
100.0,100,57.527005
100.0,100,57.55978
100.0,100,57.59292
100.0,100,57.627119
100.0,100,57.660801
100.0,100,57.692425
100.0,100,57.724552
100.0,100,57.758203
100.0,100,57.791894
100.0,100,57.824587
100.0,100,57.857304
100.0,100,57.891496
98.0,100,57.924632
100.0,100,57.955612
98.0,100,57.987508
100.0,100,58.021268
98.0,100,58.054464
100.0,100,58.087096
100.0,100,58.119726
100.0,100,58.15298
100.0,100,58.185135
100.0,100,58.219438
98.0,100,58.252866
100.0,100,58.286364
98.0,100,58.319611
100.0,100,58.352268
100.0,100,58.385972
100.0,100,58.419704
98.0,100,58.455167
98.0,100,58.488435
98.0,100,58.523731
98.0,100,58.556149
100.0,100,58.590139
98.0,100,58.623977
100.0,100,58.657731
98.0,100,58.690774
98.0,100,58.725412
100.0,100,58.756897
100.0,100,58.789524
100.0,100,58.821888
100.0,100,58.855242
100.0,100,58.88877
100.0,100,58.922547
100.0,100,58.95512
100.0,100,58.989702
100.0,100,59.021388
100.0,100,59.0546
100.0,100,59.08961
100.0,100,59.122547
100.0,100,59.154758
96.0,100,59.186874
98.0,100,59.221948
100.0,100,59.25481
100.0,100,59.288548
98.0,100,59.321509
98.0,100,59.353489
98.0,100,59.386428
98.0,100,59.421316
100.0,100,59.454533
98.0,100,59.489022
100.0,100,59.523282
100.0,100,59.556268
100.0,100,59.588986
100.0,100,59.623137
100.0,100,59.657286
100.0,100,59.690404
100.0,100,59.723657
100.0,100,59.758874
100.0,100,59.79235
100.0,100,59.826018
100.0,100,59.859407
100.0,100,59.892615
100.0,100,59.925859
100.0,100,59.958475
100.0,100,59.994248
100.0,100,60.027265
96.0,100,60.05972
98.0,100,60.093626
100.0,100,60.126673
100.0,100,60.160254
98.0,100,60.195589
96.0,100,60.230142
100.0,100,60.264167
100.0,100,60.298764
100.0,100,60.333037
100.0,100,60.368942
100.0,100,60.401813
100.0,100,60.434567
100.0,100,60.467869
100.0,100,60.500256
100.0,100,60.532049
98.0,100,60.566731
100.0,100,60.599606
98.0,100,60.633463
100.0,100,60.667351
98.0,100,60.700994
100.0,100,60.734088
100.0,100,60.767222
100.0,100,60.800922
100.0,100,60.947796
100.0,100,60.983682
100.0,100,61.017364
100.0,100,61.051323
100.0,100,61.084964
98.0,100,61.119794
100.0,100,61.155037
100.0,100,61.189628
